DIRECCIÓN,BARRIO,"COORDENADAS
MAGNA-SIRGAS COLOMBIA
ORIGEN BOGOTÁ",,TIPO,DIÁMETRO HIDRANTE
,,X,Y,,
CRA 45 # 64A-62/ 64,La Floresta,1.107.255,1.277.657,Tipo Tráfico,4''
CRA 45 # 54-13,Terrazas,1.107.324,1.278.291,Tipo Tráfico,4''
CL 91 # 22-07,Diamante II,1.106.412,1.275.915,Tipo Milán,3''
CRA 33W # 71-79 ,Quebrada La iglesia I,1.103.834,1.275.380,Tipo Tráfico,4''
CL 56 # 46-36 ,Terrazas,1.107.412,1.278.059,Tipo Milán,3''
CRA 34W # 71-36 ,Quebrada La iglesia I,1.104.111,1.275.529,Tipo Tráfico,4''
CRA 35W # 64-05 ,Quebrada La iglesia I,1.103.677,1.275.278,Tipo Tráfico,4''
CRA 18BIS # 16AN-35 ,Paisajes Norte,1.104.465,1.282.767,Tipo Milán,3''
CL 20 # 32A-45,San Alonso,1.106.415,1.280.401,Tipo Tráfico,6''
CL 37DN # 8BIS-44,Café Madrid,1.103.536,1.284.098,Tipo Milán,3''
CL 90 # 25-119,Diamante II,1.106.825,1.275.817,Tipo Tráfico,4''
CRA 10-BETANIA SECTOR A-PEATONAL 2,Villas de San Ignacio,1.103.498,1.283.338,Tipo Tráfico,4''
CL 17N # 12-07 ,Kennedy,1.104.130,1.282.816,Tipo Milán,3''
CRA 32 # 19-01,San Alonso,1.106.254,1.280.453,Tipo Tráfico,4''
DG 13 # 60-82 T 1 ,Ciudadela Real de Minas,1.105.668,1.277.530,Tipo Tráfico,4''
CRA 13AN # 17A-08 ,Kennedy,1.104.181,1.282.829,Tipo Tráfico,4''
CRA 38 # 44-88 ,Cabecera del Llano,1.107.085,1.279.163,Tipo Tráfico,4''
DG 13 # 60-125 T 2 ,Ciudadela Real de Minas,1.105.712,1.277.511,Tipo Tráfico,4''
CL 91 # 25-10 ,Diamante II,1.106.711,1.275.789,Tipo Tráfico,4''
CL 11 # 23-35,Mutualidad,1.105.354,1.281.030,Tipo Tráfico,4''
CRA 24 # 11-44,Mutualidad,1.105.401,1.280.986,Tipo Tráfico,4''
CL 71B # 55-40 ,Altos del Lago,1.108.315,1.277.515,Tipo Milán,3''
CRA 33 # 91-52 T 1 ,San Martin,1.107.005,1.276.743,Tipo Tráfico,4''
CL 12 # 17A-11,Modelo,1.104.817,1.280.840,Tipo Tráfico,4''
CRA 32C # 19-32 ,San Alonso,1.106.459,1.280.441,Tipo Tráfico,4''
CL 12 # 17,Modelo,1.104.765,1.280.842,Tipo Tráfico,4''
VIA PALENQUE C. MADRID KM2 SERVITECA GARCILLANTAS,Río de Oro I,1.100.869,1.277.500,Tipo Tráfico,4''
VIA PALENQUE-CAFE PARQUEADERO KM 2,Río de Oro I,1.100.659,1.277.360,Tipo Tráfico,4''
CRA 24 # 101-25,Provenza,1.106.688,1.275.577,Tipo Milán,3''
CRA 29 # 30-25 ,La Aurora,1.106.115,1.279.952,Tipo Tráfico,4''
CIRCUN 35 # 92-156 T 3 ,El Tejar,1.107.474,1.276.872,Tipo Tráfico,4''
VIA BGA-GIRON KM 6,N/A,1.102.697,1.275.235,Tipo Tráfico,4''
CL 9 # 32C-14 ,Universidad,1.106.268,1.281.442,Tipo Milán,3''
CL 43#14-51,Centro,1.105.112,1.278.633,Tipo Tráfico,4''
CL 37 #4A,Alfonso López,1.104.209,1.278.621,Tipo Tráfico,4''
CL 12 # 27-68,Universidad,1.105.822,1.281.008,Tipo Tráfico,4''
CL 106 # 22-43 ,Provenza,1.106.336,1.275.313,Tipo Tráfico,4''
CL 37 # 23-77 ,Bólivar,1.105.900,1.279.170,Tipo Tráfico,4''
CL 12NA # 1A OCC - 06,Villas de San Ignacio,1.102.979,1.282.719,Tipo Tráfico,4''
CRA 10#31 ,Garcia Rovira,1.104.457,1.279.282,Tipo Milán,3''
CRA 27 # 17-54 ,San Francisco,1.105.776,1.280.542,Tipo Tráfico,4''
CIRCUN 35 # 92-135,El Tejar,1.107.511,1.276.989,Tipo Milán,3''
CL 34N # 8B-05,Café Madrid,1.103.461,1.283.778,Tipo Tráfico,4''
CL 35 # 27-86 ,Mejoras Públicas,1.106.216,1.279.488,Tipo Milán,3''
CRA 27 # 12-07,Universidad,1.105.750,1.280.996,Tipo Tráfico,4''
CL 11 # 24-70,Mutualidad,1.105.473,1.281.042,Tipo Tráfico,4''
CL 11 # 23-04,Mutualidad,1.105.309,1.281.009,Tipo Tráfico,4''
CRA 27 # 21-70,San Francisco,1.105.842,1.280.096,Tipo Tráfico,4''
CL 16 # 27-10,San Alonso,1.105.789,1.280.623,Tipo Tráfico,4''
CRA 27 #17-75,San Alonso,1.105.806,1.280.477,Tipo Tráfico,4''
CRA 27 # 15-09,San Francisco,1.105.777,1.280.665,Tipo Tráfico,4''
CL 20 # 26-32,San Francisco,1.105.790,1.280.262,Tipo Tráfico,4''
CRA 24 # 51-48 ,Nuevo Sotomayor,1.106.251,1.278.451,Tipo Tráfico,4''
VIA GIRON KM 4 ENRADAT LADRILLERA .BGA,Quebrada La iglesia I,1.104.039,1.275.513,Tipo Tráfico,4''
CRA 1W # 53-20 BALCONCITOS,Balconcitos,1.104.585,1.277.463,Tipo Milán,3''
CRA 56 # 74-191 ,Altos del Lago,1.108.332,1.276.982,Tipo Tráfico,4''
CRA 38 # 51-136 ,Cabecera del Llano,1.107.193,1.278.541,Tipo Tráfico,4''
CRA 38 # 52-87 ,Cabecera del Llano,1.107.228,1.278.410,Tipo Tráfico,4''
CL 55A # 27-05 ,Bolarqui,1.106.417,1.278.050,Tipo Tráfico,4''
CL 54 # 23-22 ,Bolarqui,1.106.293,1.278.197,Tipo Tráfico,4''
CL 34 # 23-41 ,Antonia Santos centro,1.105.763,1.279.411,Tipo Tráfico,6''
CRA 25 # 24-37,Alarcón,1.105.727,1.279.945,Tipo Milán,3''
CL 73 # 41W-97 ,Quebrada La iglesia I,1.103.496,1.275.187,Tipo Tráfico,4''
CL 105 # 26A-93 ,Provenza,1.107.003,1.275.741,Tipo Tráfico,4''
CL 38 # 34-18 ,El Prado,1.106.751,1.279.508,Tipo Tráfico,4''
CRA 24 # 16-35 ,San Francisco,1.105.498,1.280.549,Tipo Milán,3''
CRA 26 # 24-23,Alarcón,1.105.794,1.280.030,Tipo Tráfico,4''
CRA 10-BETANIA SECTOR B-CASA 60,Villas de San Ignacio,1.103.479,1.283.120,Tipo Tráfico,4''
CRA 38 # 42-12,Cabecera del Llano,1.107.058,1.279.381,Tipo Tráfico,4''
CL 65 # 44-12 ,La Floresta,1.107.210,1.277.639,Tipo Tráfico,4''
CRA 27 # 18-04/10,San Francisco,1.105.782,1.280.463,Tipo Tráfico,4''
CRA 27 # 32-04,Antonia Santos centro,1.105.998,1.279.715,Tipo Tráfico,4''
CL 33 # 26-39,Antonia Santos centro,1.105.969,1.279.618,Tipo Tráfico,4''
CL 34A # 44-05,Alvarez las Américas,1.107.175,1.279.921,Tipo Milán,3''
CRA 27 # 45-100,Nuevo Sotomayor,1.106.285,1.278.857,Tipo Tráfico,4''
AV 38 # 51-89 T 1 ,Cabecera del Llano,1.107.212,1.278.626,Tipo Tráfico,4''
CL 50 # 23-112,Nuevo Sotomayor,1.106.225,1.278.613,Tipo Milán,3''
CRA 50 # 54-115 ,Pan de Azucar,1.107.701,1.278.234,Tipo Milán,3''
CL 46 # 35A-44,Cabecera del Llano,1.106.976,1.279.026,Tipo Milán,3''
CRA 55 # 72-02 * ,Lagos del Cacique,1.108.216,1.277.346,Tipo Tráfico,4''
CRA 29 # 42-12 ,Sotomayor,1.106.541,1.279.216,Tipo Tráfico,4''
CL 38 # 32-10,Mejoras Públicas,1.106.567,1.279.472,Tipo Tráfico,4''
CRA 21 # 19-45,San Francisco,1.105.276,1.280.203,Tipo Tráfico,4''
CRA 25 # 35-21 ,Antonia Santos centro,1.105.949,1.279.361,Tipo Tráfico,4''
AV QUEBRADA SECA # 33A-100 NIVEL 0 ,Galán,1.106.591,1.280.410,Tipo Tráfico,4''
CIRCUN 35 # 72-98 ,El Tejar,1.107.441,1.277.046,Tipo Tráfico,4''
CRA 23 # 37-47 ,Bólivar,1.105.843,1.279.102,Tipo Tráfico,4''
CRA 17C # 55-22 ,La Concordia,1.105.991,1.277.954,Tipo Tráfico,4''
CRA 28 # 48-70 ,Sotomayor,1.106.496,1.278.731,Tipo Tráfico,4''
CRA 39 # 44-70 ,Cabecera del Llano,1.107.180,1.279.224,Tipo Tráfico,4''
CRA 37 # 52-43 OF 401,Cabecera del Llano,1.107.158,1.278.465,Tipo Tráfico,4''
CIRCUN 35 # 92-136 ,El Tejar,1.107.488,1.276.996,Tipo Tráfico,4''
CL 50 # 22-87 ,La Concordia,1.106.106,1.278.549,Tipo Tráfico,4''
CRA 35 # 9-55,Los Pinos,1.106.807,1.281.050,Tipo Tráfico,4''
CL 19 # 23-07,San Francisco,1.105.448,1.280.305,Tipo Tráfico,4''
CL 21 # 25-27 T 1 ,San Francisco,1.105.708,1.280.157,Tipo Tráfico,4''
CL 20 # 49-48,San Alonso,1.106.052,1.280.315,Tipo Tráfico,4''
CRA 30 # 35-10 ,Mejoras Públicas,1.106.402,1.279.595,Tipo Tráfico,4''
VIA BGA-GIRON CL 58 # 4- 71 TRANSITO DE GIRON,Quebrada La iglesia I,1.103.767,1.275.507,Tipo Tráfico,4''
CRA 26 # 45-39 ,Nuevo Sotomayor,1.106.221,1.278.900,Tipo Tráfico,4''
CRA 34 # 36-31 ,El Prado,1.106.713,1.279.625,Tipo Tráfico,4''
CRA 38 # 48-122 ,Cabecera del Llano,1.107.084,1.278.797,Tipo Tráfico,4''
CRA 29 # 55B-07,Bolarqui,1.106.631,1.278.061,Tipo Tráfico,4''
CL 100 # 23-27 OF 1,Provenza,1.106.521,1.275.668,Tipo Tráfico,4''
CRA 25 # 19-19 ,San Francisco,1.105.644,1.280.296,Tipo Tráfico,4''
CRA 21A # 109-60 ,Granjas de Provenza,1.106.143,1.275.080,Tipo Milán,3''
CL 22 # 23-72 ,Alarcón,1.105.587,1.280.024,Tipo Tráfico,4''
CL 8 # 29-157 INT 2 PUERTO RICO,San Alonso,1.106.199,1.281.281,Tipo Tráfico,4''
CL 18 # 26-23 ,San Francisco,1.105.736,1.280.454,Tipo Tráfico,4''
CRA 34 # 34-17 ,El Prado,1.106.684,1.279.795,Tipo Tráfico,4''
CRA 34 # 34-41 ,El Prado,1.106.687,1.279.771,Tipo Tráfico,4''
CL 10 # 34-15 T 1 ,Los Pinos,1.106.765,1.281.052,Tipo Tráfico,4''
CRA 17F # 58A-53 ,Ricaurte,1.106.197,1.277.767,Tipo Tráfico,4''
CL 51 # 27A-33 OF,Sotomayor,1.106.386,1.278.596,Tipo Tráfico,4''
CL 8 # 22-04,Comuneros,1.105.175,1.281.264,Tipo Tráfico,4''
CL 65 # 30W-03  ,Monterredondo,1.103.917,1.275.947,Tipo Milán,3''
CL 17 # 24-56,San Francisco,1.105.555,1.280.507,Tipo Tráfico,4''
CL 37 # 24-82 ,Bólivar,1.106.017,1.279.201,Tipo Tráfico,4''
CL 37 # 24-75,Bólivar,1.105.988,1.279.200,Tipo Tráfico,4''
CRA 26 # 20-05,San Francisco,1.105.750,1.280.249,Tipo Tráfico,4''
CL 34 # 27-47/55,Mejoras Públicas,1.106.158,1.279.563,Tipo Tráfico,4''
CRA 18 # 87-35 ,San Luis,1.106.037,1.276.203,Tipo Tráfico,4''
CL 35 # 23-01 ,Antonia Santos centro,1.105.748,1.279.337,Tipo Tráfico,4''
CRA 36 # 38-24 ,El Prado,1.106.895,1.279.507,Tipo Tráfico,4''
CL 67 # 20-29,La Victoria,1.106.289,1.277.072,Tipo Tráfico,4''
CL 69 # 16-29,La Victoria,1.106.284,1.276.738,Tipo Piso,2''
CRA 39 # 48-05 ,Cabecera del Llano,1.107.196,1.278.856,Tipo Tráfico,4''
CL 69 # 12-29,La Victoria,1.106.097,1.276.647,Tipo Piso,2''
CRA 22#21-21,San Francisco,1.105.347,1.279.988,Tipo Tráfico,4''
CRA 10B # 68A-30,África,1.105.843,1.276.470,Tipo Milán,3''
CRA 11 # 68-10,Pablo VI,1.105.957,1.276.651,Tipo Milán,3''
CRA 25 # 65-19 T A ,La Victoria,1.106.417,1.277.385,Tipo Milán,3''
CRA 2W # 55-05,Mutis,1.104.557,1.277.246,Tipo Milán,3''
CRA 24W # 59-02,Manzanares,1.103.673,1.276.501,Tipo Milán,3''
CL 60 # 37W-75,Estoraques,1.103.365,1.276.209,Tipo Milán,3''
CRA 19 # 9-85,Comuneros,1.104.919,1.281.033,Tipo Tráfico,4''
CRA 20 # 12,Mutualidad,1.105.052,1.280.831,Tipo Milán,3''
CL 62 # 3W-61,Mutis,1.104.598,1.276.817,Tipo Milán,3''
CRA 35W # 64-25 ,Monterredondo,1.103.769,1.275.985,Tipo Milán,3''
CL 64 # 2AW-74,Mutis,1.104.824,1.276.748,Tipo Milán,3''
CRA 3W # 64-08 ,Los Heroes,1.104.803,1.276.710,Tipo Milán,3''
CL 65 # 6W-257 ,Monterredondo,1.104.485,1.276.419,Tipo Tráfico,4''
CRA 8W # 62-48 ,Prados Mutis,1.104.516,1.276.693,Tipo Milán,3''
CRA 43W # 58-03,Estoraques,1.103.146,1.276.090,Tipo Milán,3''
CRA 14W # 66-15 ,La Gran Ladera,1.104.358,1.276.130,Tipo Milán,3''
CL 55A # 2-04 ,Ciudadela Real de Minas,1.104.851,1.277.247,Tipo Tráfico,4''
CL 58 # 7W-114,Mutis,1.104.346,1.276.860,Tipo Milán,3''
CRA 23W # 66-18,La Gran Ladera,1.104.233,1.275.987,Tipo Milán,3''
CL 21 # 23-44 ,San Francisco,1.105.537,1.280.115,Tipo Tráfico,4''
CL 19 # 27-34 ,San Alonso,1.105.853,1.280.382,Tipo Tráfico,4''
CRA 33 # 54-46,Campestre,1.106.876,1.278.136,Tipo Milán,3''
CRA 33 # 51A-08 (BANCO CAJA SOCIAL),Campestre,1.106.800,1.278.502,Tipo Piso,2''
CL 11 # 23-64 ,Mutualidad,1.105.377,1.281.034,Tipo Tráfico,4''
CL 45 # 29-60,Sotomayor,1.106.712,1.279.065,Tipo Milán,3''
CRA 25 # 21-78  CASA 1,Alarcón,1.105.680,1.280.041,Tipo Tráfico,4''
CL 20NB # 1-12 ET 7,Villas de San Ignacio,1.103.187,1.282.883,Tipo Tráfico,4''
CL 35 # 22-32,Antonia Santos centro,1.105.700,1.279.291,Tipo Tráfico,4''
CRA 29 # 31-14 ,La Aurora,1.106.148,1.279.876,Tipo Tráfico,4''
CL 52A # 31-79,Campestre,1.106.737,1.278.370,Tipo Tráfico,4''
CL 11 # 23-11,Mutualidad,1.105.304,1.281.025,Tipo Tráfico,4''
CL 109 # 22A-74,Provenza,1.106.424,1.275.121,Tipo Tráfico,4''
AV GONZALEZ VALENCIA # 50-47,Nuevo Sotomayor,1.106.262,1.278.597,Tipo Tráfico,6''
CL 34 # 26-59,Antonia Santos centro,1.106.052,1.279.523,Tipo Tráfico,4''
CL 18 # 23-60 ,San Francisco,1.105.498,1.280.395,Tipo Tráfico,4''
CL 34 # 28-51 ,Mejoras Públicas,1.106.250,1.279.628,Tipo Milán,3''
CRA 21 # 11-71,Mutualidad,1.105.134,1.280.912,Tipo Tráfico,4''
CRA 8#58 ,Zona Industrial Autopista a Bucaramanga lado sur,1.102.047,1.275.213,Tipo Milán,3''
CL 20 # 31-70,San Alonso,1.106.229,1.280.352,Tipo Tráfico,4''
CL 63 # 18-15,La Ceiba,1.106.454,1.277.552,Tipo Tráfico,4''
CRA 24 # 30-11 ,Antonia Santos centro,1.105.654,1.279.790,Tipo Tráfico,4''
CL 11 # 28-53,Universidad,1.105.896,1.281.104,Tipo Tráfico,4''
CL 20 # 24-76,San Francisco,1.105.640,1.280.232,Tipo Tráfico,4''
CL 42#19-09,Centro,1.105.584,1.278.790,Tipo Tráfico,4''
CRA 41 # 42-65 ,Cabecera del Llano,1.107.332,1.279.387,Tipo Tráfico,4''
AV 42 # 48-12 ,Cabecera del Llano,1.107.374,1.278.886,Tipo Tráfico,4''
CRA 22B # 113-10 ,Provenza,1.106.428,1.274.891,Tipo Tráfico,4''
CL 18 # 31-53,San Alonso,1.106.197,1.280.549,Tipo Tráfico,4''
CL 21 # 17,San Francisco,1.104.951,1.280.009,Tipo Milán,4''
CL 35 # 25-74 ,Antonia Santos centro,1.106.012,1.279.404,Tipo Tráfico,4''
CRA 15#29,Granada,1.104.820,1.279.527,Tipo Tráfico,4''
CRA 15 QUEBRADA SECA ,Granada,1.104.868,1.279.549,Tipo Tráfico,4''
CRA 32A # 19-30,San Alonso,1.106.343,1.280.431,Tipo Tráfico,4''
CRA 15#3N - 37,Norte Bajo,1.104.020,1.281.890,Tipo Milán,3''
CRA 24 #33,Centro,1.105.497,1.279.425,Tipo Milán,3''
CRA 20#37 ESQUINA ,Centro,1.105.546,1.279.033,Tipo Milán,3''
CRA 19#28-60,Granada,1.105.220,1.279.660,Tipo Tráfico,4''
CRA 20 # BULEVAR BOLIVAR,San Francisco,1.105.119,1.280.496,Tipo Tráfico,4''
CRA 9 # 8A-74,Alfonso López,1.104.570,1.278.686,Tipo Tráfico,4''
CL 45#7,Chorreras de Don Juan,1.104.537,1.278.242,Tipo Milán,3''
CL  41 #12 ESQUINA ,Garcia Rovira,1.104.828,1.278.754,Tipo Milán,4''
CL 42#17-28,Centro,1.105.446,1.278.757,Tipo Tráfico,4''
CL 51N # 26-20 ,Colorados,1.104.378,1.285.638,Tipo Milán,3''
CRA 10-BETANIA SECTOR F-PEATONAL 2 CASA 1,Villas de San Ignacio,1.103.293,1.282.647,Tipo Tráfico,4''
CL 34#18-01,Centro,1.105.289,1.279.242,Tipo Tráfico,4''
AV GUAYACANES CRA 1 BL 18 ,Ciudadela Real de Minas,1.105.135,1.276.590,Tipo Tráfico,4''
CL 41 # 27-87,Mejoras Públicas,1.106.336,1.279.161,Tipo Tráfico,4''
CRA 27A # 40-60,Mejoras Públicas,1.106.321,1.279.189,Tipo Tráfico,4''
CL 41#19-61,Centro,1.105.597,1.278.869,Tipo Tráfico,4''
CRA 15 # 104D-49 ,Delicias,1.105.501,1.275.176,Tipo Tráfico,4''
CRA 23 # 30-55,Antonia Santos centro,1.105.585,1.279.719,Tipo Tráfico,6''
CRA 23 # 30-62 ,Antonia Santos centro,1.105.589,1.279.692,Tipo Tráfico,6''
CRA 38 # 46-30 ,Cabecera del Llano,1.107.072,1.279.010,Tipo Tráfico,4''
CRA 38 # 48-76,Cabecera del Llano,1.107.072,1.278.819,Tipo Tráfico,6''
CRA 18A # 113-21,Viveros de Provenza,1.105.965,1.274.863,Tipo Tráfico,4''
CL 105 # 17-04,Provenza,1.105.860,1.275.217,Tipo Tráfico,4''
CRA 36 # 36-28 ,El Prado,1.106.864,1.279.657,Tipo Tráfico,4''
CL 51 # 23-119 ,Nuevo Sotomayor,1.106.248,1.278.527,Tipo Tráfico,4''
"KM 6.5 VÍA PALEQUE CAFE MADRID, HARINAGRO",Río de Oro I,1.102.229,1.281.151,Tipo Tráfico,4''
CRA 38A # 46-04 ,Cabecera del Llano,1.107.114,1.279.035,Tipo Tráfico,4''
CL 42#12-42,Garcia Rovira,1.104.907,1.278.670,Tipo Tráfico,4''
CL 47N # 22-41 ,N/A,1.104.659,1.285.301,Tipo Tráfico,4''
AV EL TEJAR # 104-25 CASA 11H,Fatima,1.107.919,1.276.563,Tipo Milán,3''
CRA 18#31,Centro,1.105.201,1.279.458,Tipo Tráfico,4''
CRA 53 # 72-82 CASA 8,Lagos del Cacique,1.108.081,1.277.285,Tipo Tráfico,4''
VIA BGA-GIRON KM 6 BODEGA 1,Quebrada La iglesia I,1.102.791,1.275.248,Tipo Tráfico,4''
CRA 20 # 111-32 ,Granjas de Provenza,1.106.057,1.275.025,Tipo Tráfico,6''
TRANS 112A # 19-48 ,Granjas de Provenza,1.106.016,1.274.930,Tipo Tráfico,6''
CRA 25 # 35-16 T 2 ,Antonia Santos centro,1.105.935,1.279.368,Tipo Tráfico,4''
CRA 24 # 6-60 ,Comuneros,1.105.316,1.281.420,Tipo Tráfico,4''
CL 109 # 20-23 ,Granjas de Provenza,1.106.069,1.275.111,Tipo Tráfico,4''
CL 62 # 2AW-40,Mutis,1.104.771,1.276.841,Tipo Milán,3''
CL 39 # 24-80 ,Bólivar,1.106.044,1.279.147,Tipo Tráfico,4''
CL 15#14-48,Gaitán,1.104.577,1.280.540,Tipo Tráfico,4''
CRA 14 # 55-29,Gomez Niño,1.105.571,1.277.814,Tipo Tráfico,4''
CL 73 # 42W-19 ,Quebrada La iglesia I,1.102.458,1.274.900,Tipo Tráfico,4''
CRA 27A # 48-62 T A ,Sotomayor,1.106.399,1.278.751,Tipo Tráfico,4''
CL 73 # 41W-12 ,Quebrada La iglesia I,1.102.783,1.274.872,Tipo Tráfico,4''
CL 73 # 41W-261 ,Quebrada La iglesia I,1.103.025,1.274.981,Tipo Tráfico,4''
CRA 27A # 48-16 ,Sotomayor,1.106.412,1.278.799,Tipo Tráfico,4''
CL 60 # 8W-160 MZ B CASA 028,Brisas del Mutis,1.104.264,1.276.639,Tipo Tráfico,4''
CL 60 # 8W-160 MZ C CASA 051,Brisas del Mutis,1.104.237,1.276.598,Tipo Milán,3''
CL 17 # 32A-20,San Alonso,1.106.331,1.280.658,Tipo Tráfico,4''
CRA 23 # 31-106 ,Antonia Santos centro,1.105.652,1.279.544,Tipo Tráfico,4''
CL 58 DIAGONAL.# 15-36 T 3 ,Ricaurte,1.106.362,1.277.807,Tipo Tráfico,4''
CL 58 DIAGONAL. # 15-36 ,Ricaurte,1.106.277,1.277.864,Tipo Tráfico,4''
CRA 26 # 45-67,Nuevo Sotomayor,1.106.225,1.278.862,Tipo Tráfico,4''
CRA 24 # 19-26 ,San Francisco,1.105.539,1.280.280,Tipo Tráfico,4''
CL 112 # 22-122 ,Provenza,1.106.424,1.274.947,Tipo Tráfico,4''
CL 15 # 24-41 ,San Francisco,1.105.517,1.280.704,Tipo Tráfico,4''
CRA 35A # 48-52,Cabecera del Llano,1.106.970,1.278.804,Tipo Tráfico,4''
CL 28 # 22-40,Alarcón,1.105.495,1.279.852,Tipo Tráfico,4''
CRA 47 # 33A-47 ,Alvarez las Américas,1.107.239,1.280.106,Tipo Tráfico,4''
CRA 30 # 16-41 ,San Alonso,1.106.032,1.280.649,Tipo Tráfico,4''
CRA 26A # 51-37 ,Nuevo Sotomayor,1.106.245,1.278.638,Tipo Tráfico,4''
CL 17 # 29-49,San Alonso,1.106.012,1.280.607,Tipo Tráfico,4''
CIRCUN 35 # 92-170 T 5 ,El Tejar,1.107.469,1.276.846,Tipo Tráfico,4''
CL 39 # 24-43 ,Bólivar,1.105.993,1.279.125,Tipo Tráfico,4''
CL 103 # 22A-68/ 72,Provenza,1.106.428,1.275.500,Tipo Tráfico,4''
CL 44 # 28-14 ,Sotomayor,1.106.484,1.279.116,Tipo Tráfico,4''
CL 55 # 28-25 ,Bolarqui,1.106.502,1.278.211,Tipo Tráfico,4''
CRA 13 # 96-30 ,Conquistadores,1.105.068,1.275.750,Tipo Tráfico,4''
CRA 13 # 96-18 ,Conquistadores,1.105.105,1.275.840,Tipo Tráfico,4''
CL 24N # 18-66 P 1,San Valentín,1.104.351,1.283.285,Tipo Tráfico,4''
CL 22N # 18-63 ,San Valentín,1.104.433,1.283.227,Tipo Tráfico,4''
CL 13 # 23-37,Mutualidad,1.105.382,1.280.816,Tipo Tráfico,4''
CL 32 # 47-02 ,Alvarez las Américas,1.107.167,1.280.244,Tipo Milán,3''
CRA 14#22,Granada,1.104.677,1.279.828,Tipo Tráfico,4''
CL 19 # 29-60,San Alonso,1.106.043,1.280.410,Tipo Tráfico,4''
CL 19 # 29-30 ,San Alonso,1.106.024,1.280.406,Tipo Tráfico,4''
CL 30 NORTE # 9B-10 T 14 ,Villas de San Ignacio,1.103.358,1.283.194,Tipo Tráfico,4''
CL 30 NORTE # 9B-58 T 3 ,Villas de San Ignacio,1.103.431,1.283.105,Tipo Tráfico,4''
CL 48 # 39-41 ,Cabecera del Llano,1.107.239,1.278.892,Tipo Tráfico,4''
CRA 40 # 46-92 BL B ,Cabecera del Llano,1.107.298,1.278.937,Tipo Tráfico,4''
CRA 11#34 ESQUINA,Garcia Rovira,1.104.665,1.278.991,Tipo Tráfico,4''
CL 14#10-45,Garcia Rovira,1.104.611,1.278.991,Tipo Tráfico,4''
CRA 38 # 42-64 OF,Cabecera del Llano,1.107.056,1.279.317,Tipo Tráfico,4''
CRA 47 # 65-12,La Floresta,1.107.386,1.277.670,Tipo Milán,3''
CRA 45 # 62-22,La Floresta,1.107.296,1.277.853,Tipo Tráfico,4''
CL 31 # 23-28 ,Antonia Santos centro,1.105.648,1.279.659,Tipo Tráfico,4''
CRA 29 # 16-09 ,San Alonso,1.105.946,1.280.674,Tipo Tráfico,4''
CRA 22#30-69,Antonia Santos centro,1.105.534,1.279.648,Tipo Tráfico,4''
CL 12 # 25-56 ,Universidad,1.105.563,1.280.963,Tipo Tráfico,4''
CL 22 # 22-30,Alarcón,1.105.457,1.279.998,Tipo Tráfico,4''
CL 29#5,Girardot,1.104.094,1.279.239,Tipo Tráfico,6''
CRA 2 OCC#31,23 de Junio,1.103.896,1.278.956,Tipo Milán,3''
CRA 3 CL # 64A MZ C CASA 78,Ciudadela Real de Minas,1.105.256,1.276.762,Tipo Tráfico,4''
CRA 8 # 69-26,Bucaramanga,1.105.099,1.276.160,Tipo Piso,2''
CL 41 # 31-120,Mejoras Públicas,1.106.573,1.279.400,Tipo Tráfico,6''
CL 41 # 31-69,Mejoras Públicas,1.106.536,1.279.349,Tipo Tráfico,4''
CRA 48 # 30-67 ,Alvarez las Américas,1.107.222,1.280.175,Tipo Tráfico,4''
CL 34 # 22-35 ,Antonia Santos centro,1.105.667,1.279.381,Tipo Tráfico,4''
CRA 22#34-38 TORRE VALLARTA,Antonia Santos centro,1.105.649,1.279.322,Tipo Tráfico,6''
CL 9 # 22-29 ,Comuneros,1.105.192,1.281.180,Tipo Tráfico,4''
CL 14 # 26-64 ,San Francisco,1.105.708,1.280.814,Tipo Tráfico,4''
CRA 24 # 31-40 ,Antonia Santos centro,1.105.711,1.279.640,Tipo Tráfico,4''
CL 21 # 29-13 ,San Alonso,1.106.040,1.280.225,Tipo Milán,3''
CRA 36 # 37-30,El Prado,1.106.881,1.279.582,Tipo Tráfico,4''
CL 34 # 32-34 HOTEL BUENAVISTA,Mejoras Públicas,1.106.510,1.279.753,Tipo Tráfico,4''
CRA 49 # 54-210,Pan de Azucar,1.107.621,1.278.130,Tipo Tráfico,4''
CRA 23 # 20-33 ,San Francisco,1.105.476,1.280.167,Tipo Tráfico,4''
CL 11 # 26-05,Universidad,1.105.573,1.281.079,Tipo Tráfico,4''
CRA 25 # 10-12,Universidad,1.105.481,1.281.119,Tipo Tráfico,4''
CL 42#16-126,Centro,1.105.398,1.278.740,Tipo Tráfico,4''
CL 110 # 21-17 ,Granjas de Provenza,1.106.111,1.275.068,Tipo Tráfico,4''
CRA 21 # 20,San Francisco,1.105.285,1.280.153,Tipo Tráfico,4''
CL 9#16-29,Comuneros,1.104.664,1.281.077,Tipo Tráfico,4''
CL 38 # 34-61 ,El Prado,1.106.796,1.279.527,Tipo Tráfico,4''
CRA 28 # 50-53 ,Sotomayor,1.106.451,1.278.584,Tipo Tráfico,4''
CL 52 #17-06,La Concordia,1.105.727,1.278.109,Tipo Tráfico,4''
CRA 25 # 14-61 ,San Francisco,1.105.556,1.280.743,Tipo Tráfico,4''
CRA 30 # 34-39 ,Mejoras Públicas,1.106.397,1.279.638,Tipo Tráfico,4''
