DIRECCIÓN,BARRIO,X,Y,TIPO,DIÁMETRO HIDRANTE,Longitud,Latitud
CL 32 CRA 27 PARQUE DE LOS NIÑOS,Antonia Santos centro,1105935.788,1279844.465,Tipo Tráfico,4'',-73.11855621,7.125764802
CRA 30 # 53-16,Bolarqui,1106510.519,1278352.143,Tipo Tráfico,4'',-73.1133823,7.112261881
CL 22 # 25-25 ,San Francisco,1105716.238,1280062.061,Tipo Tráfico,4'',-73.12053936,7.127736206
CL 59#9A-9 ENVÍA,Zona Industrial Autopista a Bucaramanga lado norte,1101622.833,1275291.486,Tipo Tráfico,4'',-73.15767628,7.08468003
CL 70 # 8B-27,Juan XXIII,1105725.799,1276323.126,Tipo Milán,3'',-73.12052279,7.09393219
CRA 5 OCC # 11NC - 37,Villas de San Ignacio,1102850.23,1282744.852,Tipo Milán,3'',-73.14643172,7.152044545
CRA 2A OCC # 8N - 03 ET 4,Villas de San Ignacio,1102589.046,1282456.489,Tipo Tráfico,4'',-73.14880121,7.149442196
CRA 4 OCC # 9N - 29 -  ETAPA 6,Villas de San Ignacio,1102657.045,1282572.306,Tipo Tráfico,4'',-73.14818357,7.150488068
CL 10ND # 5 OCC - 11 -  ETAPA 6,Villas de San Ignacio,1102758.056,1282701.21,Tipo Tráfico,4'',-73.14726687,7.151651659
CL 11N # 1A OCC - 19,Villas de San Ignacio,1102868.077,1282559.058,Tipo Tráfico,4'',-73.14627357,7.150364442
CRA 19#36,Centro,1105426.876,1279107.872,Tipo Milán,3'',-73.12317632,7.11911477
CRA 35#PASAJE MARTÍNEZ MUTIS,Centro,1105159.56,1279096.286,Tipo Piso,2'',-73.12559607,7.119015004
CRA 15 AV QUEBRADA SECA,Centro,1104882.448,1279473.908,Tipo Tráfico,4'',-73.12809725,7.122434252
AV. QUEBRADA SECA  CRA 16,Centro,1104946.263,1279484.795,Tipo Tráfico,4'',-73.12751944,7.122531495
AV. QUEBRADA SECA CRA 14,Centro,1104809.457,1279419.71,Tipo Tráfico,4'',-73.12875892,7.121945602
CRA 17#8-26,Comuneros,1104691.817,1281137.54,Tipo Tráfico,4'',-73.1297918,7.137478769
CRA 19 # 8-07,Comuneros,1104882.858,1281197.115,Tipo Tráfico,4'',-73.12806145,7.138013838
CL 24 CRA 12,Granada,1104521.908,1279626.601,Tipo Piso,2'',-73.13135777,7.123821444
CRA 14#28,Granada,1104709.564,1279665.439,Tipo Milán,4'',-73.12965852,7.124169103
CRA 14#28,Granada,1104745.069,1279544.613,Tipo Tráfico,4'',-73.12933939,7.123076048
CRA 27 # 34-72 ,Antonia Santos centro,1106112.976,1279453.104,Tipo Tráfico,4'',-73.11695979,7.122223168
CRA 6#28-34,Girardot,1104168.398,1279293.756,Tipo Tráfico,6'',-73.13456366,7.120818709
CL 28#12,Granada,1104573.004,1279465.715,Tipo Milán,3'',-73.13089827,7.122365916
CRA 25 # 101-35,Provenza,1106719.041,1275566.925,Tipo Tráfico,4'',-73.1115475,7.087076758
CL ESTUDIANTES # 9-67/ 75,Ciudadela Real de Minas,1105340.782,1277615.376,Tipo Tráfico,4'',-73.12398341,7.105622659
CRA 22C # 5N-03,El Plan,1105077.542,1281987.49,Tipo Milán,3'',-73.12628449,7.145156018
CRA 3 # 55-100 MZ G CASA 14,Ciudadela Real de Minas,1104867.381,1277348.438,Tipo Tráfico,6'',-73.1282731,7.103218043
CL 95 # 32-38 ,Porto Fino,1107117.487,1276556.357,Tipo Milán,3'',-73.10792263,7.096014708
CRA 9A # 31DN-23 MZ A ,Villas de San Ignacio,1103350.053,1283447.144,Tipo Milán,3'',-73.14189443,7.158384853
CRA 28 # 41-27 ,Sotomayor,1106456.159,1279182.355,Tipo Tráfico,4'',-73.11385866,7.119768862
CL 45 # 27-03 ,Sotomayor,1106293.235,1278977.877,Tipo Tráfico,4'',-73.11533717,7.11792324
CRA 28 # 51-74,Sotomayor,1106356.989,1278502.064,Tipo Tráfico,4'',-73.11476909,7.113620212
CRA 27 # 48-103 ,Sotomayor,1106328.261,1278713.074,Tipo Tráfico,4'',-73.11502514,7.115528493
CRA 27A # 40-25 ,Mejoras Públicas,1106304.674,1279248.38,Tipo Milán,3'',-73.11522854,7.120368652
CL 52 # 30-16,Sotomayor,1106600.542,1278413.249,Tipo Tráfico,4'',-73.11256635,7.112812646
CL 54 # 33-12,Cabecera del Llano,1106887.6,1278226.181,Tipo Milán,3'',-73.10997171,7.11111594
CRA 38 # 51-117,Cabecera del Llano,1107203.26,1278529.695,Tipo Tráfico,6'',-73.10710891,7.113854042
CRA 35A # 49-07 ,Cabecera del Llano,1106990.936,1278639.969,Tipo Tráfico,4'',-73.10902857,7.114855046
CL 35#9-81,Garcia Rovira,1104589.95,1278877.374,Tipo Tráfico,4'',-73.13075579,7.117046381
CL 52 # 33-14,Cabecera del Llano,1106848.999,1278442.402,Tipo Milán,3'',-73.110317,7.113071526
CRA 33 # 49-35 T N ,Cabecera del Llano,1106818.466,1278612.653,Tipo Milán,3'',-73.11059013,7.114611345
CL 48 # 33-08,Cabecera del Llano,1106780.279,1278821.918,Tipo Milán,3'',-73.11093181,7.116504032
CRA 33 # 62-46,Conucos,1106931.547,1277807.08,Tipo Tráfico,4'',-73.10958188,7.107326023
CL 50 # 20-46/48,La Concordia,1105935.144,1278444.105,Tipo Milán,3'',-73.11858833,7.113104127
CRA 24 # 34-45,Antonia Santos centro,1105822.373,1279375.541,Tipo Tráfico,4'',-73.11959157,7.121527378
CRA 33 # 70-58,Los Guayacanes,1107198.507,1277396.602,Tipo Tráfico,4'',-73.10717342,7.103609835
CRA 27 # 58-85,Mercedes,1106447.939,1277827.219,Tipo Tráfico,4'',-73.11395861,7.107517216
CL 54 # 27-37 ,Bolarqui,1106387.785,1278271.566,Tipo Tráfico,4'',-73.1144947,7.111535694
CRA 27 # 56-41 ,Ricaurte,1106411.411,1277916.82,Tipo Tráfico,4'',-73.11428754,7.108327985
CL 55 # 23-61,Bolarqui,1106382.265,1278131.189,Tipo Tráfico,4'',-73.1145473,7.110266646
CL 53 # 24-05,Bolarqui,1106353.517,1278347.149,Tipo Tráfico,4'',-73.11480343,7.112219683
CRA 24 # 52-74 ,Bolarqui,1106309.669,1278368.686,Tipo Tráfico,4'',-73.1151999,7.11241523
CL 53 # 23-11 ,Bolarqui,1106241.51,1278280.784,Tipo Tráfico,4'',-73.11581846,7.111621786
CRA 21 # 46-10,La Concordia,1105817.253,1278729.112,Tipo Tráfico,4'',-73.11965004,7.11568309
CL 103 # 13D-22,Jardines de Coaviconsa,1105387.025,1275565.319,Tipo Tráfico,4'',-73.12360303,7.087087133
CL 98 # 16-77 ,Fontana,1105575.756,1275765.383,Tipo Tráfico,4'',-73.12189118,7.08889241
CRA 32W # 71-36 ,Quebrada La iglesia I,1103941.76,1275488.053,Tipo Tráfico,4'',-73.13668498,7.086415219
CRA 19 # 104-56,Fontana,1105974.33,1275381.526,Tipo Tráfico,4'',-73.11829102,7.085414511
CRA 15E # 105-75 ,Provenza,1105670.376,1274999.759,Tipo Tráfico,4'',-73.12104908,7.081968609
CL 103 # 13B-09 ,Jardines de Coaviconsa,1105298.429,1275552.712,Tipo Tráfico,4'',-73.12440512,7.086974793
CRA 13C # 99-95 CASA 11,Jardines de Coaviconsa,1105342.363,1275562.888,Tipo Tráfico,4'',-73.1240073,7.087065978
CL 103 # 14-14 ,Jardines de Coaviconsa,1105454.052,1275567.671,Tipo Tráfico,4'',-73.12299636,7.087107149
SECTOR 5 MZ-A CASA 3,Cristal Bajo,1105863.761,1274002.138,Tipo Milán,3'',-73.11931746,7.072945472
CRA 4 # 15DN-20 ,Maria Paz,1103565.656,1282468.114,Tipo Milán,3'',-73.13996084,7.149529403
CRA 45 # 64A-62/ 64,La Floresta,1107255.001,1277657.439,Tipo Tráfico,4'',-73.10665715,7.105966992
CRA 45 # 54-13,Terrazas,1107324.022,1278290.981,Tipo Tráfico,4'',-73.10602042,7.111693535
CL 91 # 22-07,Diamante II,1106411.838,1275915.158,Tipo Milán,3'',-73.11432132,7.090230912
CRA 33W # 71-79 ,Quebrada La iglesia I,1103833.506,1275379.792,Tipo Tráfico,4'',-73.13766673,7.08543841
CL 56 # 46-36 ,Terrazas,1107412.223,1278058.961,Tipo Milán,3'',-73.10522651,7.109594167
CRA 34W # 71-36 ,Quebrada La iglesia I,1104111.433,1275528.878,Tipo Tráfico,4'',-73.13514858,7.086781212
CRA 35W # 64-05 ,Quebrada La iglesia I,1103676.943,1275277.652,Tipo Tráfico,4'',-73.13908559,7.084517811
CRA 18BIS # 16AN-35 ,Paisajes Norte,1104465.309,1282766.721,Tipo Milán,3'',-73.13181178,7.152212483
CL 20 # 32A-45,San Alonso,1106415.327,1280400.576,Tipo Tráfico,6'',-73.11420525,7.130783586
CL 37DN # 8BIS-44,Café Madrid,1103535.852,1284097.567,Tipo Milán,3'',-73.14020057,7.164261949
CL 90 # 25-119,Diamante II,1106824.992,1275816.801,Tipo Tráfico,4'',-73.11058387,7.089333891
CRA 10-BETANIA SECTOR A-PEATONAL 2,Villas de San Ignacio,1103497.528,1283337.578,Tipo Tráfico,4'',-73.14056151,7.15739154
CL 17N # 12-07 ,Kennedy,1104129.753,1282815.781,Tipo Milán,3'',-73.13484828,7.152662267
CRA 32 # 19-01,San Alonso,1106254.164,1280452.599,Tipo Tráfico,4'',-73.11566301,7.131256962
DG 13 # 60-82 T 1 ,Ciudadela Real de Minas,1105668.262,1277529.735,Tipo Tráfico,4'',-73.121021,7.104842266
CRA 13AN # 17A-08 ,Kennedy,1104180.53,1282828.776,Tipo Tráfico,4'',-73.13438841,7.152778811
CRA 38 # 44-88 ,Cabecera del Llano,1107084.706,1279162.745,Tipo Tráfico,4'',-73.10816993,7.11957969
DG 13 # 60-125 T 2 ,Ciudadela Real de Minas,1105711.596,1277511.267,Tipo Tráfico,4'',-73.12062914,7.104674492
CL 91 # 25-10 ,Diamante II,1106711.215,1275789.194,Tipo Tráfico,4'',-73.11161414,7.089086439
CL 11 # 23-35,Mutualidad,1105354.18,1281029.841,Tipo Tráfico,4'',-73.12379837,7.136492718
CRA 24 # 11-44,Mutualidad,1105401.035,1280986.409,Tipo Tráfico,4'',-73.12337507,7.136099165
CL 71B # 55-40 ,Altos del Lago,1108315.319,1277515.127,Tipo Milán,3'',-73.09706304,7.104660156
CRA 33 # 91-52 T 1 ,San Martin,1107004.941,1276743.033,Tipo Tráfico,4'',-73.10893772,7.097704579
CL 12 # 17A-11,Modelo,1104816.53,1280840.058,Tipo Tráfico,4'',-73.12866848,7.134786908
CRA 32C # 19-32 ,San Alonso,1106458.7,1280441.161,Tipo Tráfico,4'',-73.11381189,7.131149698
CL 12 # 17,Modelo,1104764.647,1280841.648,Tipo Tráfico,4'',-73.12913807,7.13480225
VIA PALENQUE C. MADRID KM2 SERVITECA GARCILLANTAS,Río de Oro I,1100869.325,1277499.706,Tipo Tráfico,4'',-73.16445667,7.104658333
VIA PALENQUE-CAFE PARQUEADERO KM 2,Río de Oro I,1100658.751,1277360.286,Tipo Tráfico,4'',-73.16636507,7.103401559
CRA 24 # 101-25,Provenza,1106688.064,1275576.861,Tipo Milán,3'',-73.11182767,7.087167171
CRA 29 # 30-25 ,La Aurora,1106114.8,1279952.125,Tipo Tráfico,4'',-73.11693389,7.126734796
CIRCUN 35 # 92-156 T 3 ,El Tejar,1107473.885,1276872.451,Tipo Tráfico,4'',-73.10469097,7.098865765
VIA BGA-GIRON KM 6,,1102696.789,1275234.777,Tipo Tráfico,4'',-73.14795733,7.084147991
CL 9 # 32C-14 ,Universidad,1106268.309,1281442.014,Tipo Milán,3'',-73.11551631,7.140202011
CL 43#14-51,Centro,1105112.308,1278632.922,Tipo Tráfico,4'',-73.12603239,7.114826588
CL 37 #4A,Alfonso López,1104209.254,1278620.754,Tipo Tráfico,4'',-73.13420629,7.114733293
CL 12 # 27-68,Universidad,1105822.442,1281007.666,Tipo Tráfico,4'',-73.11956029,7.136283459
CL 106 # 22-43 ,Provenza,1106335.617,1275312.938,Tipo Tráfico,4'',-73.11502246,7.084787649
CL 37 # 23-77 ,Bólivar,1105900.081,1279170.338,Tipo Tráfico,4'',-73.11889206,7.11967067
CL 12NA # 1A OCC - 06,Villas de San Ignacio,1102979.318,1282718.702,Tipo Tráfico,4'',-73.1452637,7.151805752
CRA 10#31 ,Garcia Rovira,1104457.499,1279282.24,Tipo Milán,3'',-73.13194715,7.120709248
CRA 27 # 17-54 ,San Francisco,1105775.887,1280541.518,Tipo Tráfico,4'',-73.11999045,7.132069879
CIRCUN 35 # 92-135,El Tejar,1107511.29,1276988.654,Tipo Milán,3'',-73.10435021,7.099915651
CL 34N # 8B-05,Café Madrid,1103461.27,1283777.889,Tipo Tráfico,4'',-73.14088159,7.161373089
CL 35 # 27-86 ,Mejoras Públicas,1106216.202,1279487.526,Tipo Milán,3'',-73.11602482,7.122532438
CRA 27 # 12-07,Universidad,1105750.411,1280995.696,Tipo Tráfico,4'',-73.1202125,7.136176587
CL 11 # 24-70,Mutualidad,1105473.311,1281042.056,Tipo Tráfico,4'',-73.12271982,7.13660092
CL 11 # 23-04,Mutualidad,1105309.37,1281009.498,Tipo Tráfico,4'',-73.12420435,7.13630963
CRA 27 # 21-70,San Francisco,1105842.417,1280095.745,Tipo Tráfico,4'',-73.11939662,7.128038382
CL 16 # 27-10,San Alonso,1105788.962,1280622.894,Tipo Tráfico,4'',-73.11987057,7.132805355
CRA 27 #17-75,San Alonso,1105806.143,1280476.789,Tipo Tráfico,4'',-73.1197178,7.131484092
CRA 27 # 15-09,San Francisco,1105777.051,1280665.364,Tipo Tráfico,4'',-73.11997758,7.133189549
CL 20 # 26-32,San Francisco,1105790.113,1280261.962,Tipo Tráfico,4'',-73.11986693,7.129542138
CRA 24 # 51-48 ,Nuevo Sotomayor,1106251.035,1278451.321,Tipo Tráfico,4'',-73.11572904,7.113163434
VIA GIRON KM 4 ENRADAT LADRILLERA .BGA,Quebrada La iglesia I,1104038.862,1275512.648,Tipo Tráfico,4'',-73.1358057,7.086635812
CRA 1W # 53-20 BALCONCITOS,Balconcitos,1104585.181,1277463.424,Tipo Milán,3'',-73.13082514,7.104262863
CRA 56 # 74-191 ,Altos del Lago,1108332.404,1276981.698,Tipo Tráfico,4'',-73.09691863,7.099837115
CRA 38 # 51-136 ,Cabecera del Llano,1107193.007,1278540.766,Tipo Tráfico,4'',-73.10720149,7.113954325
CRA 38 # 52-87 ,Cabecera del Llano,1107227.628,1278409.582,Tipo Tráfico,4'',-73.10689062,7.112767638
CL 55A # 27-05 ,Bolarqui,1106416.811,1278050.104,Tipo Tráfico,4'',-73.11423616,7.109532907
CL 54 # 23-22 ,Bolarqui,1106292.77,1278197.15,Tipo Tráfico,4'',-73.11535608,7.110864687
CL 34 # 23-41 ,Antonia Santos centro,1105762.694,1279411.058,Tipo Tráfico,6'',-73.12013108,7.121849603
CRA 25 # 24-37,Alarcón,1105726.824,1279944.719,Tipo Milán,3'',-73.12044573,7.126675116
CL 73 # 41W-97 ,Quebrada La iglesia I,1103496.033,1275187.289,Tipo Tráfico,4'',-73.14072457,7.083704134
CL 105 # 26A-93 ,Provenza,1107002.806,1275741.297,Tipo Tráfico,4'',-73.10897597,7.08864791
CL 38 # 34-18 ,El Prado,1106750.946,1279508.497,Tipo Tráfico,4'',-73.11118432,7.122711948
CRA 24 # 16-35 ,San Francisco,1105497.573,1280549.259,Tipo Milán,3'',-73.12250945,7.132145078
CRA 26 # 24-23,Alarcón,1105793.918,1280029.62,Tipo Tráfico,4'',-73.11983685,7.127441452
CRA 10-BETANIA SECTOR B-CASA 60,Villas de San Ignacio,1103479.484,1283119.765,Tipo Tráfico,4'',-73.14072885,7.155422613
CRA 38 # 42-12,Cabecera del Llano,1107058.113,1279381.456,Tipo Tráfico,4'',-73.10840648,7.12155756
CL 65 # 44-12 ,La Floresta,1107210.297,1277638.739,Tipo Tráfico,4'',-73.10706211,7.10579877
CRA 27 # 18-04/10,San Francisco,1105781.596,1280463.496,Tipo Tráfico,4'',-73.11994023,7.131364371
CRA 27 # 32-04,Antonia Santos centro,1105997.903,1279714.879,Tipo Tráfico,4'',-73.11799642,7.124592046
CL 33 # 26-39,Antonia Santos centro,1105968.732,1279618.311,Tipo Tráfico,4'',-73.11826228,7.123719518
CL 34A # 44-05,Alvarez las Américas,1107174.619,1279920.827,Tipo Milán,3'',-73.10734171,7.126431794
CRA 27 # 45-100,Nuevo Sotomayor,1106285.154,1278856.988,Tipo Tráfico,4'',-73.11541259,7.116830439
AV 38 # 51-89 T 1 ,Cabecera del Llano,1107211.948,1278626.123,Tipo Tráfico,4'',-73.10702844,7.114725679
CL 50 # 23-112,Nuevo Sotomayor,1106224.527,1278613.199,Tipo Milán,3'',-73.11596592,7.114627478
CRA 50 # 54-115 ,Pan de Azucar,1107701.067,1278234.36,Tipo Milán,3'',-73.10260885,7.111174458
CL 46 # 35A-44,Cabecera del Llano,1106976.248,1279026.387,Tipo Milán,3'',-73.1091542,7.118348934
CRA 55 # 72-02 * ,Lagos del Cacique,1108216.041,1277346.092,Tipo Tráfico,4'',-73.09796483,7.103133815
CRA 29 # 42-12 ,Sotomayor,1106541.098,1279216.374,Tipo Tráfico,4'',-73.11308922,7.120074834
CL 38 # 32-10,Mejoras Públicas,1106566.742,1279471.786,Tipo Tráfico,4'',-73.11285229,7.122383532
CRA 21 # 19-45,San Francisco,1105276.246,1280203.306,Tipo Tráfico,4'',-73.12451925,7.129021438
CRA 25 # 35-21 ,Antonia Santos centro,1105949.25,1279360.615,Tipo Tráfico,4'',-73.11844345,7.121390054
AV QUEBRADA SECA # 33A-100 NIVEL 0 ,Galán,1106591.338,1280409.728,Tipo Tráfico,4'',-73.11261193,7.130863007
CIRCUN 35 # 72-98 ,El Tejar,1107441.164,1277046.416,Tipo Tráfico,4'',-73.10498381,7.100439207
CRA 23 # 37-47 ,Bólivar,1105843.44,1279102.066,Tipo Tráfico,4'',-73.11940602,7.119054483
CRA 17C # 55-22 ,La Concordia,1105991.457,1277953.796,Tipo Tráfico,4'',-73.11808784,7.108670171
CRA 28 # 48-70 ,Sotomayor,1106496.186,1278730.799,Tipo Tráfico,4'',-73.11350489,7.115685584
CRA 39 # 44-70 ,Cabecera del Llano,1107179.575,1279223.785,Tipo Tráfico,4'',-73.1073101,7.12012975
CRA 37 # 52-43 OF 401,Cabecera del Llano,1107158.302,1278464.848,Tipo Tráfico,4'',-73.10751705,7.113268604
CIRCUN 35 # 92-136 ,El Tejar,1107487.941,1276995.844,Tipo Tráfico,4'',-73.10456141,7.099981096
CL 50 # 22-87 ,La Concordia,1106106.339,1278549.439,Tipo Tráfico,4'',-73.11703686,7.114053236
CRA 35 # 9-55,Los Pinos,1106806.78,1281050.32,Tipo Tráfico,4'',-73.11064971,7.13665052
CL 19 # 23-07,San Francisco,1105448.097,1280304.597,Tipo Tráfico,4'',-73.12296186,7.129934007
CL 21 # 25-27 T 1 ,San Francisco,1105708.299,1280157.391,Tipo Tráfico,4'',-73.12060942,7.128598244
CL 20 # 49-48,San Alonso,1106051.865,1280315.314,Tipo Tráfico,4'',-73.1174967,7.130019577
CRA 30 # 35-10 ,Mejoras Públicas,1106401.736,1279595.123,Tipo Tráfico,4'',-73.11434347,7.123501731
VIA BGA-GIRON CL 58 # 4- 71 TRANSITO DE GIRON,Quebrada La iglesia I,1103766.839,1275507.062,Tipo Tráfico,4'',-73.13826778,7.086590285
CRA 26 # 45-39 ,Nuevo Sotomayor,1106221.145,1278900.294,Tipo Tráfico,4'',-73.11599114,7.117223172
CRA 34 # 36-31 ,El Prado,1106712.723,1279624.506,Tipo Tráfico,4'',-73.11152808,7.123761516
CRA 38 # 48-122 ,Cabecera del Llano,1107083.529,1278796.806,Tipo Tráfico,4'',-73.10818753,7.116271254
CRA 29 # 55B-07,Bolarqui,1106631.116,1278060.691,Tipo Tráfico,4'',-73.11229627,7.109624591
CL 100 # 23-27 OF 1,Provenza,1106520.984,1275667.885,Tipo Tráfico,4'',-73.11333813,7.087993259
CRA 25 # 19-19 ,San Francisco,1105644.336,1280296.235,Tipo Tráfico,4'',-73.12118577,7.129854733
CRA 21A # 109-60 ,Granjas de Provenza,1106143.304,1275080.054,Tipo Milán,3'',-73.11676736,7.082685742
CL 22 # 23-72 ,Alarcón,1105586.767,1280023.871,Tipo Tráfico,4'',-73.12171196,7.127393355
CL 8 # 29-157 INT 2 PUERTO RICO,San Alonso,1106198.596,1281281.256,Tipo Tráfico,4'',-73.11615035,7.138749909
CL 18 # 26-23 ,San Francisco,1105735.554,1280454.235,Tipo Tráfico,4'',-73.12035715,7.1312815
CRA 34 # 34-17 ,El Prado,1106683.97,1279795.058,Tipo Tráfico,4'',-73.11178511,7.125304014
CRA 34 # 34-41 ,El Prado,1106687.324,1279770.777,Tipo Tráfico,4'',-73.11175521,7.125084426
CL 10 # 34-15 T 1 ,Los Pinos,1106764.856,1281051.629,Tipo Tráfico,4'',-73.11102916,7.136663145
CRA 17F # 58A-53 ,Ricaurte,1106197.437,1277766.925,Tipo Tráfico,4'',-73.11622703,7.106976802
CL 51 # 27A-33 OF,Sotomayor,1106385.986,1278595.906,Tipo Tráfico,4'',-73.11450487,7.114468097
CL 8 # 22-04,Comuneros,1105174.58,1281263.965,Tipo Tráfico,4'',-73.12541966,7.13861279
CL 65 # 30W-03  ,Monterredondo,1103916.967,1275946.7,Tipo Milán,3'',-73.13690096,7.090562344
CL 17 # 24-56,San Francisco,1105554.611,1280506.529,Tipo Tráfico,4'',-73.12199397,7.131757688
CL 37 # 24-82 ,Bólivar,1106017.398,1279200.81,Tipo Tráfico,4'',-73.11782964,7.119943974
CL 37 # 24-75,Bólivar,1105987.544,1279200.393,Tipo Tráfico,4'',-73.11809986,7.11994076
CRA 26 # 20-05,San Francisco,1105750.261,1280249.318,Tipo Tráfico,4'',-73.12022788,7.129428571
CL 34 # 27-47/55,Mejoras Públicas,1106157.637,1279563.311,Tipo Tráfico,4'',-73.11655348,7.123218712
CRA 18 # 87-35 ,San Luis,1106037.324,1276202.964,Tipo Tráfico,4'',-73.11770552,7.09283999
CL 35 # 23-01 ,Antonia Santos centro,1105748.471,1279336.678,Tipo Tráfico,4'',-73.1202612,7.121177397
CRA 36 # 38-24 ,El Prado,1106895.341,1279506.984,Tipo Tráfico,4'',-73.10987739,7.122695538
CL 67 # 20-29,La Victoria,1106289.387,1277072.18,Tipo Tráfico,4'',-73.11540786,7.100693867
CL 69 # 16-29,La Victoria,1106284.15,1276738.257,Tipo Piso,2'',-73.11546152,7.097674961
CRA 39 # 48-05 ,Cabecera del Llano,1107196.322,1278856.086,Tipo Tráfico,4'',-73.1071655,7.116805071
CL 69 # 12-29,La Victoria,1106097.212,1276647.362,Tipo Piso,2'',-73.11715517,7.096856683
CRA 22#21-21,San Francisco,1105347.419,1279988.256,Tipo Tráfico,4'',-73.12387906,7.127075836
CRA 10B # 68A-30,África,1105843.404,1276469.604,Tipo Milán,3'',-73.11945565,7.095254311
CRA 11 # 68-10,Pablo VI,1105957.415,1276650.646,Tipo Milán,3'',-73.11842037,7.096888991
CRA 25 # 65-19 T A ,La Victoria,1106417.264,1277385.496,Tipo Milán,3'',-73.11424457,7.103524164
CRA 2W # 55-05,Mutis,1104556.605,1277245.563,Tipo Milán,3'',-73.1310878,7.102293692
CRA 24W # 59-02,Manzanares,1103672.742,1276501.051,Tipo Milán,3'',-73.13910122,7.095578752
CL 60 # 37W-75,Estoraques,1103365.018,1276209.156,Tipo Milán,3'',-73.1418917,7.092945317
CRA 19 # 9-85,Comuneros,1104919.262,1281033.076,Tipo Tráfico,4'',-73.127735,7.136530078
CRA 20 # 12,Mutualidad,1105052.008,1280830.883,Tipo Milán,3'',-73.12653721,7.134699572
CL 62 # 3W-61,Mutis,1104597.685,1276817.092,Tipo Milán,3'',-73.13072392,7.098419105
CRA 35W # 64-25 ,Monterredondo,1103769.334,1275985.088,Tipo Milán,3'',-73.13823644,7.090912116
CL 64 # 2AW-74,Mutis,1104824.133,1276748.348,Tipo Milán,3'',-73.12867565,7.097793397
CRA 3W # 64-08 ,Los Heroes,1104803.012,1276710.206,Tipo Milán,3'',-73.12886752,7.09744894
CL 65 # 6W-257 ,Monterredondo,1104484.949,1276419.435,Tipo Tráfico,4'',-73.13175162,7.094825941
CRA 8W # 62-48 ,Prados Mutis,1104516.29,1276693.406,Tipo Milán,3'',-73.13146289,7.09730235
CRA 43W # 58-03,Estoraques,1103145.541,1276089.917,Tipo Milán,3'',-73.1438803,7.091871269
CRA 14W # 66-15 ,La Gran Ladera,1104358.355,1276129.696,Tipo Milán,3'',-73.13290272,7.092208714
CL 55A # 2-04 ,Ciudadela Real de Minas,1104851.062,1277246.657,Tipo Tráfico,4'',-73.12842268,7.102298142
CL 58 # 7W-114,Mutis,1104346.038,1276860.382,Tipo Milán,3'',-73.13300074,7.098815129
CRA 23W # 66-18,La Gran Ladera,1104232.677,1275986.766,Tipo Milán,3'',-73.13404283,7.090918792
CL 21 # 23-44 ,San Francisco,1105536.959,1280114.548,Tipo Tráfico,4'',-73.12216109,7.128214108
CL 19 # 27-34 ,San Alonso,1105852.953,1280381.519,Tipo Tráfico,4'',-73.11929589,7.130621872
CRA 33 # 54-46,Campestre,1106876.382,1278136.177,Tipo Milán,3'',-73.11007494,7.110302428
CRA 33 # 51A-08 (BANCO CAJA SOCIAL),Campestre,1106799.603,1278502.029,Tipo Piso,2'',-73.11076296,7.113611549
CL 11 # 23-64 ,Mutualidad,1105376.626,1281033.598,Tipo Tráfico,4'',-73.12359513,7.136526266
CL 45 # 29-60,Sotomayor,1106711.808,1279065.099,Tipo Milán,3'',-73.11154695,7.118703925
CRA 25 # 21-78  CASA 1,Alarcón,1105679.775,1280041.019,Tipo Tráfico,4'',-73.12086979,7.127546655
CL 20NB # 1-12 ET 7,Villas de San Ignacio,1103187.156,1282882.638,Tipo Tráfico,4'',-73.14337936,7.153284102
CL 35 # 22-32,Antonia Santos centro,1105700.143,1279291.177,Tipo Tráfico,4'',-73.12069949,7.12076693
CRA 29 # 31-14 ,La Aurora,1106148.179,1279875.627,Tipo Tráfico,4'',-73.1166332,7.12604255
CL 52A # 31-79,Campestre,1106736.537,1278370.262,Tipo Tráfico,4'',-73.11133626,7.112421439
CL 11 # 23-11,Mutualidad,1105304.304,1281024.819,Tipo Tráfico,4'',-73.12424992,7.136448246
CL 109 # 22A-74,Provenza,1106423.535,1275120.561,Tipo Tráfico,4'',-73.11423037,7.083046714
AV GONZALEZ VALENCIA # 50-47,Nuevo Sotomayor,1106262.455,1278596.512,Tipo Tráfico,6'',-73.11562295,7.114475898
CL 34 # 26-59,Antonia Santos centro,1106051.58,1279522.773,Tipo Tráfico,4'',-73.11751419,7.122854202
CL 18 # 23-60 ,San Francisco,1105498.23,1280394.984,Tipo Tráfico,4'',-73.12250639,7.130750255
CL 34 # 28-51 ,Mejoras Públicas,1106249.518,1279627.814,Tipo Milán,3'',-73.11572062,7.123800154
CRA 21 # 11-71,Mutualidad,1105133.859,1280911.65,Tipo Tráfico,4'',-73.12579483,7.135428262
CRA 8#58 ,Zona Industrial Autopista a Bucaramanga lado sur,1102047.174,1275213.356,Tipo Milán,3'',-73.15383713,7.083966034
CL 20 # 31-70,San Alonso,1106228.658,1280351.802,Tipo Tráfico,4'',-73.11589578,7.130346138
CL 63 # 18-15,La Ceiba,1106454.09,1277552.41,Tipo Tráfico,4'',-73.11390811,7.105032543
CRA 24 # 30-11 ,Antonia Santos centro,1105653.981,1279790.415,Tipo Tráfico,4'',-73.12110796,7.125281419
CL 11 # 28-53,Universidad,1105895.907,1281103.973,Tipo Tráfico,4'',-73.11889351,7.137152788
